№,Видеокарта,Тип,Производительность,Архитектура,Год выпуска,TDP
103,GeForce GTX 1080,десктопная,40.27,Pascal,2016,180 W
104,Radeon RX 6800S,для ноутбуков,40.01,RDNA 2.0,2022,100 W
105,GeForce RTX 3060 8 GB,десктопная,39.88,Ampere,2022,170 W
106,RTX A4000 Mobile,для мобильных рабочих станций,39.78,Ampere,2021,115 W
107,Quadro RTX 4000,для рабочих станций,39.74,Turing,2018,160 W
108,Quadro P6000,для рабочих станций,39.67,Pascal,2016,250 W
109,RTX 2000 Ada Generation Mobile,для мобильных рабочих станций,39.43,Ada Lovelace,2023,115 W
110,Radeon RX 6600,десктопная,39.31,RDNA 2.0,2021,132 W
111,GeForce RTX 2080 (мобильная),для ноутбуков,39.27,Turing,2019,150 W
112,GeForce RTX 2080 Super Mobile,для ноутбуков,39.25,Turing,2020,150 W
113,GeForce GTX 980 SLI (мобильная),для ноутбуков,39.22,Maxwell,2015,330 W
114,Radeon RX 7700S,для ноутбуков,39.17,RDNA 3.0,2023,100 W
115,Radeon Pro W5700,для рабочих станций,38.94,RDNA 1.0,2019,205 W
116,Radeon RX 6650M,для ноутбуков,38.93,RDNA 2.0,2022,120 W
117,Radeon RX 6700S,для ноутбуков,38.80,RDNA 2.0,2022,80 W
118,GeForce GTX 1070 Ti,десктопная,38.08,Pascal,2017,180 W
119,GeForce GTX 1070 SLI,десктопная,38.00,Pascal,2016,300 W
120,Radeon RX 7600S,для ноутбуков,37.96,RDNA 3.0,2023,75 W
121,Radeon PRO W7500,для рабочих станций,37.58,RDNA 3.0,2023,70 W
122,GeForce RTX 4050,десктопная,37.43,Ada Lovelace,2023,100 W
123,GeForce RTX 4050 Mobile,для ноутбуков,37.43,Ada Lovelace,2023,50 W
124,Radeon RX 5700,десктопная,37.40,RDNA 1.0,2019,180 W
125,GeForce GTX 1080 SLI (мобильная),для ноутбуков,37.30,Pascal,2016,−
126,GeForce RTX 3070 Mobile,для ноутбуков,37.23,Ampere,2021,125 W
127,Radeon RX Vega 64,десктопная,37.06,GCN 5.0,2017,295 W
128,Radeon PRO W7600,для рабочих станций,36.87,RDNA 3.0,2023,130 W
129,GeForce RTX 2060,десктопная,36.67,Turing,2019,160 W
130,GeForce RTX 2070 Super Mobile,для ноутбуков,36.50,Turing,2020,115 W
131,Radeon Pro Vega II Duo,для рабочих станций,36.33,GCN 5.1,2019,475 W
132,Quadro RTX 5000 (мобильная),для мобильных рабочих станций,36.04,Turing,2019,110 W
133,GeForce RTX 2080 Max-Q,для ноутбуков,36.01,Turing,2019,80 W
134,GeForce RTX 2080 Super Max-Q,для ноутбуков,35.83,Turing,2020,80 W
135,GeForce GTX 980 Ti,десктопная,35.79,Maxwell 2.0,2015,250 W
136,Radeon RX 6600M,для ноутбуков,35.74,RDNA 2.0,2021,100 W
137,RTX A2000,для рабочих станций,35.59,Ampere,2021,70 W
138,GeForce RTX 2070 Super Max-Q,для ноутбуков,35.58,Turing,2020,80 W
139,GeForce GTX 1080 (мобильная),для ноутбуков,35.55,Pascal,2016,150 W
140,Radeon Pro Vega 64X,для мобильных рабочих станций,35.53,GCN 5.0,2019,250 W
141,RTX A2000 12 GB,для рабочих станций,35.49,Ampere,2021,70 W
142,Radeon RX 6600S,для ноутбуков,35.45,RDNA 2.0,2022,80 W
143,Radeon RX 5600 XT,десктопная,35.29,RDNA 1.0,2020,150 W
144,Radeon RX 6700M,для ноутбуков,35.12,RDNA 2.0,2021,135 W
145,Radeon Pro WX 8200,для рабочих станций,35.06,GCN 5.0,2018,230 W
146,GeForce GTX 1070,десктопная,34.98,Pascal,2016,150 W
147,Quadro RTX 5000 Max-Q,для мобильных рабочих станций,34.91,Turing,2019,80 W
148,GeForce RTX 2070 (мобильная),для ноутбуков,34.69,Turing,2019,115 W
149,Radeon RX 6800M,для ноутбуков,34.36,RDNA 2.0,2021,145 W
150,Radeon Vega Frontier Edition,для рабочих станций,34.28,GCN 5.0,2017,300 W
151,Radeon RX Vega 56,десктопная,34.27,GCN 5.0,2017,210 W
152,Radeon RX 7600M XT,для ноутбуков,34.20,RDNA 3.0,2023,120 W
153,Quadro RTX 4000 (мобильная),для мобильных рабочих станций,34.19,Turing,2019,110 W
154,Radeon Pro W6600X,для рабочих станций,33.99,RDNA 2.0,2021,120 W
155,Arc A770,десктопная,33.76,Generation 12.7,2022,225 W
156,Titan X Pascal,десктопная,33.76,Pascal,2016,250 W
157,GeForce GTX TITAN X,десктопная,33.50,Maxwell 2.0,2015,250 W
158,Radeon Pro Vega 64,для рабочих станций,33.49,GCN 5.0,2017,250 W
159,GeForce GTX 1660 Ti,десктопная,33.47,Turing,2019,120 W
160,Radeon Pro VII,для рабочих станций,33.28,GCN 5.1,2020,250 W
161,GeForce GTX 1660 Super,десктопная,33.05,Turing,2019,125 W
162,Tesla T10,для рабочих станций,32.79,Turing,−,260 W
163,Radeon Pro 5700 XT,для рабочих станций,32.69,RDNA 1.0,2020,130 W
164,GeForce RTX 3050 8 GB,десктопная,32.69,Ampere,2022,130 W
165,Quadro P5000,для рабочих станций,32.60,Pascal,2016,180 W
166,GeForce RTX 3060 Mobile,для ноутбуков,32.53,Ampere,2021,80 W
167,Quadro P5200 Max-Q,для мобильных рабочих станций,32.48,Pascal,2018,100 W
168,RTX A3000 Mobile,для мобильных рабочих станций,32.35,Ampere,2021,70 W
169,Radeon PRO WX 9100,для рабочих станций,32.32,GCN 5.0,2017,230 W
170,Quadro RTX 4000 Max-Q,для мобильных рабочих станций,32.17,Turing,2019,80 W
171,Radeon Pro Vega 56,для мобильных рабочих станций,32.02,GCN 5.0,2017,210 W
172,Radeon Pro V520,для рабочих станций,31.77,RDNA 1.0,2020,225 W
173,Quadro P5200,для мобильных рабочих станций,31.72,Pascal,2018,100 W
174,Tesla P40,для рабочих станций,31.60,Pascal,2016,250 W
175,Radeon RX 5600 OEM,десктопная,31.46,RDNA 1.0,2020,150 W
176,Arc A750,десктопная,31.08,Generation 12.7,2022,225 W
177,GeForce RTX 3050 OEM,десктопная,30.93,Ampere,2022,130 W
178,Quadro M6000 24 GB,для рабочих станций,30.80,Maxwell 2.0,2016,250 W
179,Radeon Pro 5700,для рабочих станций,30.70,RDNA 1.0,2020,130 W
180,Quadro M6000,для рабочих станций,30.45,Maxwell 2.0,2015,250 W
181,GeForce RTX 2060 (мобильная),для ноутбуков,30.44,Turing,2019,115 W
182,GeForce GTX 1660,десктопная,30.26,Turing,2019,120 W
183,Arc A580,десктопная,30.24,Generation 12.7,2023,175 W
184,GeForce RTX 2070 Max-Q,для ноутбуков,30.22,Turing,2019,80 W
185,Quadro P4000,для рабочих станций,30.12,Pascal,2017,105 W
186,Arc A770M,для ноутбуков,30.07,Generation 12.7,2022,120 W
187,Quadro P5000 (мобильная),для мобильных рабочих станций,29.97,Pascal,2017,100 W
188,L4,для рабочих станций,29.85,Ada Lovelace,2023,72 W
189,Quadro P4200 Max-Q,для мобильных рабочих станций,29.67,Pascal,2018,100 W
190,RTX A1000 Embedded,для мобильных рабочих станций,29.47,Ampere,2022,35 W
191,Radeon Pro Vega 48,для мобильных рабочих станций,29.29,GCN 5.0,2019,−
192,GeForce GTX 1660 Ti (мобильная),для ноутбуков,29.00,Turing,2019,80 W
193,GeForce GTX 980,десктопная,28.78,Maxwell 2.0,2014,220 W
194,GeForce GTX 1070 (мобильная),для ноутбуков,28.51,Pascal,2016,120 W
195,Radeon Pro SSG,для рабочих станций,28.44,GCN 3.0,2016,260 W
196,RTX A4500 Embedded,для мобильных рабочих станций,28.29,Ampere,2022,80 W
197,RTX A1000,для рабочих станций,28.00,Ampere,2024,50 W
198,Tesla T4,для рабочих станций,27.85,Turing,2018,70 W
199,GeForce RTX 3050 6 GB,десктопная,27.58,Ampere,2024,70 W
200,RTX 500 Ada Generation Mobile,для мобильных рабочих станций,27.26,Ada Lovelace,2024,35 W
